,0,1,2
B01001A_001E,10146.225494320572,11787.355831685965,3507.6317204301076
B01001A_017E,5127.877156079091,5919.209686529229,1762.109916367981
B01001_002E,6842.153386621792,9442.183846371081,2599.7867383512544
B01001_026E,7009.568195204039,9643.592629200792,2677.6248506571087
B01002_001E,41.965292385359696,41.96149392826885,43.910005973715656
B01002_002E,40.97662599915861,41.14717593900028,42.931720430107525
B01002_003E,42.90291543962979,42.68604913866139,44.718339307048986
B01003_001E,13851.72158182583,19085.77647557187,5277.411589008363
B07009_002E,843.5687000420698,1705.2657441400734,558.1633811230586
B07009_003E,2428.363230963399,3335.060011296244,1301.8061529271206
B07009_004E,2641.24535128313,3853.4467664501553,1064.5462962962963
B07009_005E,2147.13832562053,2588.6263767297373,433.7804659498208
B07009_006E,1455.8786705931848,1521.520192036148,245.37186379928315
B08006_017E,659.6160706773244,903.8532900310647,131.4778972520908
B08101_049E,659.6160706773244,903.8532900310647,131.4778972520908
B19019_001E,77137.5790492217,68964.82166054787,55109.908004778976
B25013_002E,3597.2055532183426,4232.539536853996,1324.973715651135
B25027_010E,1321.7448885149347,1532.3962157582603,644.7443249701314
B25031_001E,1063.185443836769,1161.5265461733973,807.339605734767
B25032_013E,1730.0792595708876,2776.3123411465685,716.408303464755
B25036_002E,3597.2055532183426,4232.539536853996,1324.973715651135
B25038_009E,1730.0792595708876,2776.3123411465685,716.408303464755
B25042_009E,1730.0792595708876,2776.3123411465685,716.408303464755
B25056_001E,1730.0792595708876,2776.3123411465685,716.408303464755
B25087_001E,3597.2055532183426,4232.539536853996,1324.973715651135
B25087_002E,2275.4606647034075,2700.1433210957357,680.2293906810036
